Timestamp,Temperature (°C),Wind Speed (m/s),Solar Radiation (W/m²),Cloud Cover (%),Precipitation (mm),Residential Demand (kWh),Commercial Demand (kWh),Industrial Demand (kWh),Solar Energy Generated (kWh),Wind Energy Generated (kWh),Current Storage Level (kWh),Storage Capacity (kWh),Energy Supplied to Grid (kWh),Energy Wasted (kWh)
2024-01-01 00:00:00,22.483570765056164,4.161683793829033,512.8948829620241,63.27118787486009,0.8435368576448172,322.06535758496227,331.08169620327385,1058.1894728678972,102.57897659240483,124.85051381487098,227.4294904072758,10000,0.0,0
2024-01-01 01:00:00,19.308678494144075,11.594437013542816,104.90668672922573,70.38570916343312,0.7525958057169422,263.3421901445002,452.873625929748,1191.5679262216536,20.981337345845148,347.8331104062845,596.2439381594054,10000,0.0,0
2024-01-01 02:00:00,23.23844269050346,3.076382683026644,312.1329212362491,0.43632696503090873,0.71533493706326,311.449819622967,302.4512228782862,841.8236416610869,62.42658424724982,92.29148049079932,750.9620028974546,10000,0.0,0
2024-01-01 03:00:00,27.61514928204013,9.840977423063046,471.1824888556769,16.69530887471987,0.10395656616596674,207.10492743008564,575.109945450731,1006.8016192456294,94.23649777113539,295.2293226918914,1140.4278233604814,10000,0.0,0
2024-01-01 04:00:00,18.829233126383322,5.189538425857172,258.0610514317785,71.30460506343186,0.0462687345025399,330.16237502856967,293.49169537436796,726.995640914673,51.6122102863557,155.6861527757152,1347.7261864225522,10000,0.0,0
2024-01-01 05:00:00,18.8293152152541,7.0608429825456955,619.9857459992409,66.63854135782064,0.6002375118285905,314.90792329952626,502.84575811831587,1140.2989563849428,123.99714919984818,211.82528947637087,1683.5486250987713,10000,0.0,0
2024-01-01 06:00:00,27.896064077536955,5.753018578019098,806.1501664687395,96.60475051286772,0.2297077123598895,331.93300843215513,292.2188180143803,1103.7742360880245,161.2300332937479,172.59055734057296,2017.369215733092,10000,0.0,0
2024-01-01 07:00:00,23.837173645764544,6.6237453140443385,743.7523703394634,76.1037790250783,0.2831217998206428,352.9059162543575,467.9702195463358,1099.1610042055142,148.75047406789267,198.71235942133015,2364.8320492223147,10000,0.0,0
2024-01-01 08:00:00,17.65262807032524,11.347596767395192,457.3114258139584,95.0772707731338,0.015822270730651903,318.38099201048556,664.3378155804534,1000.3238062713882,91.46228516279169,340.42790302185574,2796.722237406962,10000,0.0,0
2024-01-01 09:00:00,22.712800217929825,5.862582303101275,798.1452273699904,70.25405015348069,0.15026644533912373,307.4044709899138,536.0647891435794,1082.954578157758,159.62904547399808,175.87746909303826,3132.2287519739984,10000,0.0,0
2024-01-01 10:00:00,17.682911535937688,9.363260323859663,529.7334914404223,29.805220863944314,0.01712825761378989,255.9465831669354,413.65063950350657,1320.8678216617193,105.94669828808446,280.8978097157899,3519.073259977873,10000,0.0,0
2024-01-01 11:00:00,17.671351232148716,8.188655228588296,432.58280577639215,10.536492225085647,1.0567506119683947,264.38896181754745,496.8796511060916,942.9811485915972,86.51656115527844,245.65965685764888,3851.2494779908,10000,0.0,0
2024-01-01 12:00:00,21.20981135783017,10.627725149714426,377.31946729181203,78.18238633449356,0.1394580914974728,359.33673100886654,501.80168720444465,1027.729036742017,75.4638934583624,318.8317544914328,4245.545125940595,10000,0.0,0
2024-01-01 13:00:00,10.43359877671101,14.178786611221854,439.5060627023743,64.4149221475916,0.4074734519277519,371.81677028529896,547.2630345843405,782.774740163718,87.90121254047487,425.3635983366556,4758.809936817726,10000,0.0,0
2024-01-01 14:00:00,11.375410837434837,11.523437263733253,422.36463629175427,4.818601239329623,0.01987967584027298,288.0944781843973,363.31416367191736,826.3478076803335,84.47292725835086,345.7031179119976,5188.985981988075,10000,0.0,0
2024-01-01 15:00:00,17.188562353795135,4.794224921679838,534.0832444750976,36.005046590097834,0.5495773048072541,302.3001373626637,559.256727384733,1019.5626586186614,106.81664889501951,143.82674765039513,5439.629378533489,10000,0.0,0
2024-01-01 16:00:00,14.93584439832788,2.405380755796701,532.114796209973,95.67998154842861,0.1950621997161652,254.7692812503117,229.56083683972247,1220.7867093403815,106.42295924199459,72.16142267390103,5618.213760449385,10000,0.0,0
2024-01-01 17:00:00,21.571236662976368,5.409432575897727,500.6092040306829,50.04011457102012,1.1409952473304836,358.63784226337225,437.011544763619,948.7438351496855,100.12184080613659,162.2829772769318,5880.618578532453,10000,0.0,0
2024-01-01 18:00:00,15.459879622393945,9.736013099103314,587.3876339492699,43.272913601970465,1.0951561116018707,333.2708411845889,451.17261575484554,952.8166941375753,117.47752678985398,292.08039297309944,6290.176498295406,10000,0.0,0
2024-01-01 19:00:00,12.938481493323543,2.6685355752952544,738.1292549572682,45.7699605159294,0.19673661327106798,397.0608718231874,563.3326826071238,918.6229510991251,147.62585099145366,80.05606725885764,6517.858416545718,10000,0.0,0
2024-01-01 20:00:00,27.32824384460777,8.452761213616071,689.9108270882648,20.88827240051637,1.1561202569055897,256.08384614101305,502.2630852676869,893.0486658311354,137.98216541765296,253.58283640848214,6909.423418371853,10000,0.0,0
